ID,ideology,leadership,name,party,description,introduced_bills_118,cosponsored_bills_118,unique_cosponsors_118,total_cosponsors_118
412190,0.4314942780813201,0.45784150523314754,McCarthy,Republican,centrist Republican,11,9,73,83
412655,0.9257012095969221,0.5966136074678073,Babin,Republican,conservative Republican,13,380,148,190
412427,0.6733748633517628,0.42149882164156693,Bucshon,Republican,rank-and-file Republican,23,277,200,317
412748,0.6912204115990052,0.4336071672523356,Hern,Republican,rank-and-file Republican,19,167,155,276
412745,0.8916176493788218,0.5919433019674446,Lesko,Republican,conservative Republican,32,388,167,329
412837,0.6728936382375413,0.5535526308531448,Miller [WV1],Republican,rank-and-file Republican,39,339,165,310
412596,0.6065468767903489,0.6278740522478838,Smith [MO8],Republican,moderate Republican leader,14,66,69,163
412616,0.1848998046575242,0.7390382812419971,Lieu,Democrat,rank-and-file Democrat,56,684,243,589
412565,0.17981558985253354,0.5700199694554844,Beatty,Democrat,rank-and-file Democrat,23,352,138,440
412657,0.18711517369102634,0.8152582422318447,Beyer,Democrat,moderate Democratic leader,37,335,302,975
400030,0.3394270011672786,0.382975806288573,Bishop [GA2],Democrat,centrist Democrat,10,416,140,200
400033,0.09879647960856536,0.9193549899532086,Blumenauer,Democrat,progressive Democratic leader,35,577,202,494
412689,0.21618837196137392,0.6668849485687506,Blunt Rochester,Democrat,rank-and-file Democrat,28,463,195,425
412501,0.14128891871131966,0.7303722922066773,Bonamici,Democrat,progressive Democrat,67,692,229,1030
412652,0.24851528086348024,0.6194695270677734,Boyle,Democrat,rank-and-file Democrat,15,318,243,396
412516,0.22968740735605905,0.8202708643753188,Brownley,Democrat,moderate Democratic leader,55,644,210,703
412686,0.2837524436338174,0.6712684587794424,Carbajal,Democrat,rank-and-file Democrat,29,584,182,440
412258,0.10380979840279461,0.570556339431924,Carson,Democrat,progressive Democrat,19,852,202,594
412571,0.2913892057797641,0.8228717376629644,Cartwright,Democrat,moderate Democratic leader,40,331,237,844
412379,0.11330659697046414,0.898732043968947,Chu,Democrat,progressive Democratic leader,38,660,232,1214
412470,0.1686478239433601,0.883494747518208,Cicilline,Democrat,moderate Democratic leader,4,88,216,435
412600,0.19716805212295005,0.5877399916525683,Clark,Democrat,rank-and-file Democrat,6,46,132,163
412221,0.11173563280928536,0.7903431571458381,Clarke,Democrat,progressive Democratic leader,26,656,266,817
412236,0.15120146314005334,0.8085619759460905,Cohen,Democrat,progressive Democratic leader,58,722,253,728
412193,0.27404168877253604,0.7601905024067647,Courtney,Democrat,moderate Democratic leader,18,237,213,398
412789,0.3857364204236806,0.5270616078054864,Craig,Democrat,centrist Democrat,29,528,153,222
412809,0.19663018918359348,0.44716203512061875,Dean,Democrat,rank-and-file Democrat,25,452,78,98
400101,0.20051513409766555,0.7546830747655701,DeGette,Democrat,rank-and-file Democrat,15,297,218,469
400103,0.1997383455386926,0.9316201752254293,DeLauro,Democrat,moderate Democratic leader,41,197,234,1349
412505,0.24545604607382898,0.7653419365453198,DelBene,Democrat,moderate Democratic leader,15,497,106,142
412637,0.24179112356252622,0.8065189117595751,Dingell,Democrat,moderate Democratic leader,56,529,214,536
